DEP_ARR,AIRLINE_IATA,FLIGHT_ID,TO_FROM,INT_DOM_SCHENGEN,GATE_STAND,CANCELLED,SOBT_SIBT,ATOT_ALDT,AOBT_AIBT,WEEKDAY,DELAY
ARRIVAL,SK,SK332,OSL,D,32,,2016-03-01T08:55:00,2016-03-01T08:56:00,2016-03-01T08:53:00,1,-2.0
DEPARTURE,SK,SK4556,BOO,D,31,,2016-03-01T09:00:00,2016-03-01T09:06:00,2016-03-01T08:58:00,1,-2.0
DEPARTURE,SK,SK4143,BGO,D,30,,2016-03-01T09:05:00,2016-03-01T09:04:00,2016-03-01T08:56:00,1,-9.0
DEPARTURE,WF,WF702,BNN,D,25,,2016-03-01T09:05:00,2016-03-01T09:05:00,2016-03-01T08:59:00,1,-6.0
DEPARTURE,DY,DY751,OSL,D,36,,2016-03-01T09:20:00,2016-03-01T09:26:00,2016-03-01T09:19:00,1,-1.0
DEPARTURE,SK,SK347,OSL,D,32,,2016-03-01T09:20:00,2016-03-01T09:22:00,2016-03-01T09:16:00,1,-4.0
DEPARTURE,WF,WF734,MJF,D,26,,2016-03-01T09:20:00,2016-03-01T09:17:00,2016-03-01T09:12:00,1,-8.0
ARRIVAL,DY,DY164,BGO,D,37,,2016-03-01T09:25:00,2016-03-01T09:07:00,2016-03-01T09:03:00,1,-22.0
ARRIVAL,WF,WF538,MOL,D,27,,2016-03-01T09:40:00,2016-03-01T09:28:00,2016-03-01T09:22:00,1,-18.0
DEPARTURE,WF,WF740,OSY,D,28,,2016-03-01T09:45:00,2016-03-01T09:49:00,2016-03-01T09:45:00,1,0.0
ARRIVAL,DY,DY744,OSL,D,43,,2016-03-01T09:50:00,2016-03-01T09:44:00,2016-03-01T09:41:00,1,-9.0
ARRIVAL,SK,SK4164,BGO,D,30,,2016-03-01T13:30:00,2016-03-01T13:23:00,2016-03-01T13:21:00,1,-9.0
DEPARTURE,DY,DY1728,ALC,S,43,,2016-03-01T13:45:00,2016-03-01T13:54:00,2016-03-01T13:44:00,1,-1.0
ARRIVAL,SK,SK344,OSL,D,32,,2016-03-01T13:50:00,2016-03-01T13:43:00,2016-03-01T13:42:00,1,-8.0
ARRIVAL,WF,WF731,MQN,D,27,,2016-03-01T13:50:00,2016-03-01T14:01:00,2016-03-01T13:58:00,1,8.0
DEPARTURE,SK,SK4566,BOO,D,30,,2016-03-01T13:55:00,2016-03-01T14:01:00,2016-03-01T13:54:00,1,-1.0
ARRIVAL,WF,WF751,SSJ,D,28,,2016-03-01T13:55:00,2016-03-01T13:56:00,2016-03-01T13:53:00,1,-2.0
ARRIVAL,DY,DY754,OSL,D,35,,2016-03-01T14:15:00,2016-03-01T14:17:00,2016-03-01T14:15:00,1,0.0
DEPARTURE,SK,SK361,OSL,D,31,,2016-03-01T14:15:00,2016-03-01T14:20:00,2016-03-01T14:13:00,1,-2.0
DEPARTURE,SK,SK4487,SVG,D,32,,2016-03-01T14:15:00,2016-03-01T14:16:00,2016-03-01T14:09:00,1,-6.0
DEPARTURE,SK,SK4163,BGO,D,33,,2016-03-01T14:20:00,2016-03-01T14:22:00,2016-03-01T14:14:00,1,-6.0
ARRIVAL,SK,SK2882,CPH,S,43,,2016-03-01T14:35:00,2016-03-01T14:49:00,2016-03-01T14:47:00,1,12.0
DEPARTURE,WF,WF742,RVK,D,27,,2016-03-01T14:40:00,2016-03-01T14:42:00,2016-03-01T14:38:00,1,-2.0
DEPARTURE,DY,DY761,OSL,D,35,,2016-03-01T15:00:00,2016-03-01T15:02:00,2016-03-01T14:54:00,1,-6.0
ARRIVAL,SK,SK350,OSL,D,31,,2016-03-01T15:00:00,2016-03-01T14:58:00,2016-03-01T14:55:00,1,-5.0
DEPARTURE,WF,WF712,BNN,D,28,,2016-03-01T15:00:00,2016-03-01T15:04:00,2016-03-01T14:58:00,1,-2.0
ARRIVAL,WF,WF717,BNN,D,26,,2016-03-01T15:03:00,2016-03-01T15:01:00,2016-03-01T14:58:00,1,-5.0
DEPARTURE,SK,SK2889,CPH,S,45,,2016-03-01T15:05:00,2016-03-01T15:24:00,2016-03-01T15:17:00,1,12.0
ARRIVAL,SK,SK4484,SVG,D,34,,2016-03-01T15:05:00,2016-03-01T15:03:00,2016-03-01T15:00:00,1,-5.0
DEPARTURE,SK,SK365,OSL,D,31,C,2016-03-01T15:30:00,,,1,inf
DEPARTURE,SK,SK4483,SVG,D,34,,2016-03-01T15:30:00,2016-03-01T15:36:00,2016-03-01T15:28:00,1,-2.0
DEPARTURE,WF,WF756,MJF,D,26,,2016-03-01T15:30:00,2016-03-01T15:38:00,2016-03-01T15:32:00,1,2.0
ARRIVAL,DY,DY1039,KRK,S,35,,2016-03-01T15:40:00,2016-03-01T16:14:00,2016-03-01T16:11:00,1,31.0
ARRIVAL,DY,DY756,OSL,D,37,,2016-03-01T15:45:00,2016-03-01T15:38:00,2016-03-01T15:37:00,1,-8.0
ARRIVAL,SK,SK354,OSL,D,30,,2016-03-01T15:50:00,2016-03-01T15:49:00,2016-03-01T15:47:00,1,-3.0
ARRIVAL,SK,SK4577,BOO,D,32,,2016-03-01T16:00:00,2016-03-01T15:59:00,2016-03-01T15:57:00,1,-3.0
ARRIVAL,WF,WF486,TRF,D,29,,2016-03-01T16:10:00,2016-03-01T16:10:00,2016-03-01T16:07:00,1,-3.0
DEPARTURE,DY,DY171,BGO,D,37,,2016-03-01T16:15:00,2016-03-01T16:22:00,2016-03-01T16:12:00,1,-3.0
DEPARTURE,SK,SK371,OSL,D,30,,2016-03-01T16:15:00,2016-03-01T16:35:00,2016-03-01T16:25:00,1,10.0
DEPARTURE,DY,DY763,OSL,D,35,,2016-03-01T16:20:00,2016-03-01T16:50:00,2016-03-01T16:41:00,1,21.0
DEPARTURE,SK,SK4175,BGO,D,32,,2016-03-01T16:25:00,2016-03-01T16:33:00,2016-03-01T16:21:00,1,-4.0
ARRIVAL,DY,DY758,OSL,D,36,,2016-03-01T16:35:00,2016-03-01T16:24:00,2016-03-01T16:21:00,1,-14.0
ARRIVAL,SK,SK362,OSL,D,33,,2016-03-01T16:35:00,2016-03-01T16:41:00,2016-03-01T16:38:00,1,3.0
ARRIVAL,WF,WF733,MJF,D,27,,2016-03-01T16:35:00,2016-03-01T16:38:00,2016-03-01T16:35:00,1,0.0
ARRIVAL,WF,WF742,OSY,D,28,,2016-03-01T16:35:00,2016-03-01T16:33:00,2016-03-01T16:33:00,1,-2.0
ARRIVAL,SK,SK4172,BGO,D,34,,2016-03-01T16:40:00,2016-03-01T16:32:00,2016-03-01T16:29:00,1,-11.0
DEPARTURE,WF,WF487,TRF,D,29,,2016-03-01T16:40:00,2016-03-01T16:45:00,2016-03-01T16:39:00,1,-1.0
ARRIVAL,WF,WF516,MOL,D,26,,2016-03-01T16:40:00,2016-03-01T16:35:00,2016-03-01T16:33:00,1,-7.0
DEPARTURE,DY,DY765,OSL,D,36,,2016-03-01T17:00:00,2016-03-01T17:03:00,2016-03-01T16:53:00,1,-7.0
DEPARTURE,SK,SK375,OSL,D,33,,2016-03-01T17:00:00,2016-03-01T17:16:00,2016-03-01T17:06:00,1,6.0
DEPARTURE,WF,WF511,MOL,D,26,,2016-03-01T17:00:00,2016-03-01T17:05:00,2016-03-01T16:58:00,1,-2.0
DEPARTURE,SK,SK4572,BOO,D,34,,2016-03-01T17:05:00,2016-03-01T17:14:00,2016-03-01T17:03:00,1,-2.0
DEPARTURE,WF,WF555,KSU,D,28,,2016-03-01T17:05:00,2016-03-01T17:07:00,2016-03-01T16:59:00,1,-6.0
DEPARTURE,WF,WF741,RVK,D,27,,2016-03-01T17:05:00,2016-03-01T17:10:00,2016-03-01T17:01:00,1,-4.0
ARRIVAL,SK,SK4482,SVG,D,30,,2016-03-01T17:10:00,2016-03-01T17:02:00,2016-03-01T17:01:00,1,-9.0
ARRIVAL,DY,DY760,OSL,D,35,,2016-03-01T17:15:00,2016-03-01T17:06:00,2016-03-01T17:04:00,1,-11.0
ARRIVAL,SK,SK358,OSL,D,32,,2016-03-01T17:15:00,2016-03-01T17:26:00,2016-03-01T17:23:00,1,8.0
DEPARTURE,SK,SK4485,SVG,D,30,,2016-03-01T17:35:00,2016-03-01T17:36:00,2016-03-01T17:29:00,1,-6.0
DEPARTURE,DY,DY769,OSL,D,35,,2016-03-01T17:40:00,2016-03-01T17:43:00,2016-03-01T17:33:00,1,-7.0
DEPARTURE,SK,SK373,OSL,D,32,,2016-03-01T17:40:00,2016-03-01T17:53:00,2016-03-01T17:46:00,1,6.0
ARRIVAL,WF,WF267,KRS,D,29,,2016-03-01T17:40:00,2016-03-01T17:37:00,2016-03-01T17:40:00,1,0.0
ARRIVAL,WF,WF707,BNN,D,28,,2016-03-01T17:40:00,2016-03-01T17:46:00,2016-03-01T17:43:00,1,3.0
