DEP_ARR,AIRLINE_IATA,FLIGHT_ID,TO_FROM,INT_DOM_SCHENGEN,GATE_STAND,CANCELLED,SOBT_SIBT,ATOT_ALDT,AOBT_AIBT,WEEKDAY,DELAY
DEPARTURE,AF,AF1275,CDG,S,39,,2016-01-01T06:30:00,2016-01-01T07:01:00,2016-01-01T06:29:00,4,-1.0
ARRIVAL,SK,SK843,ARN,S,39,,2016-01-01T07:50:00,2016-01-01T07:48:00,2016-01-01T07:57:00,4,7.0
DEPARTURE,WF,WF124,FRO,D,2,,2016-01-01T07:50:00,2016-01-01T08:06:00,2016-01-01T07:52:00,4,2.0
ARRIVAL,AY,AY651,HEL,S,185,,2016-01-01T08:10:00,2016-01-01T07:51:00,2016-01-01T07:58:00,4,-12.0
DEPARTURE,SK,SK864,ARN,S,39,,2016-01-01T08:25:00,2016-01-01T08:46:00,2016-01-01T08:27:00,4,2.0
ARRIVAL,BA,BA8277,AAL,S,,C,2016-01-01T08:40:00,,,4,inf
ARRIVAL,BA,BA8265,BLL,S,,C,2016-01-01T09:00:00,,,4,inf
DEPARTURE,DY,DY1740,BCN,S,42,,2016-01-01T09:00:00,2016-01-01T09:18:00,2016-01-01T08:57:00,4,-3.0
DEPARTURE,BA,BA8278,AAL,S,,C,2016-01-01T09:05:00,,,4,inf
DEPARTURE,SK,SK4697,LPA,S,40,,2016-01-01T09:15:00,2016-01-01T09:30:00,2016-01-01T09:11:00,4,-4.0
DEPARTURE,DY,DY320,ALF,D,16,,2016-01-01T09:20:00,2016-01-01T09:37:00,2016-01-01T09:13:00,4,-7.0
DEPARTURE,BA,BA8266,BLL,S,,C,2016-01-01T09:30:00,,,4,inf
DEPARTURE,DY,DY1502,PRG,S,38,,2016-01-01T09:30:00,2016-01-01T09:45:00,2016-01-01T09:27:00,4,-3.0
DEPARTURE,DY,DY1632,VIE,S,43,,2016-01-01T09:30:00,2016-01-01T09:59:00,2016-01-01T09:29:00,4,-1.0
DEPARTURE,LH,LH859,FRA,S,46,,2016-01-01T09:30:00,2016-01-01T10:13:00,2016-01-01T09:47:00,4,17.0
DEPARTURE,DY,DY1040,KRK,S,47A,,2016-01-01T09:40:00,2016-01-01T09:59:00,2016-01-01T09:28:00,4,-12.0
DEPARTURE,SK,SK4414,TOS,D,20,,2016-01-01T09:55:00,2016-01-01T10:35:00,2016-01-01T10:13:00,4,18.0
DEPARTURE,DY,DY1126,HAM,S,45,,2016-01-01T10:00:00,2016-01-01T10:11:00,2016-01-01T09:52:00,4,-8.0
DEPARTURE,SK,SK1455,CPH,S,49,,2016-01-01T10:00:00,2016-01-01T10:23:00,2016-01-01T10:02:00,4,2.0
ARRIVAL,WF,WF125,FRO,D,12,,2016-01-01T10:25:00,2016-01-01T10:29:00,2016-01-01T10:33:00,4,8.0
ARRIVAL,BA,BA762,LHR,I,187,,2016-01-01T10:40:00,2016-01-01T10:22:00,2016-01-01T10:26:00,4,-14.0
DEPARTURE,DY,DY1348,MAN,I,51,,2016-01-01T10:40:00,2016-01-01T11:00:00,2016-01-01T10:42:00,4,2.0
DEPARTURE,DY,DY1550,BUD,S,42,,2016-01-01T10:40:00,2016-01-01T10:54:00,2016-01-01T10:37:00,4,-3.0
